model_slug,k,epsilon,metaphor_id,metaphor_type,selected_round,n_rounds_run,pullback_score,mean_judge_score,extracted_target,extracted_source,judge_metaphor_consistency,judge_analogy_appropriateness,judge_conceptual_integration,judge_model_gemini-3.5-flash,judge_model_claude-opus-4-8,judge_model_llama-4-maverick,metaphor_consistency__gemini-3.5-flash,metaphor_consistency__claude-opus-4-8,metaphor_consistency__llama-4-maverick,analogy_appropriateness__gemini-3.5-flash,analogy_appropriateness__claude-opus-4-8,analogy_appropriateness__llama-4-maverick,conceptual_integration__gemini-3.5-flash,conceptual_integration__claude-opus-4-8,conceptual_integration__llama-4-maverick
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.1,004,Attributal/visual,2,2,1.260,8.889,climate control,air conditioner,9.000,9.333,8.333,8.667,9.000,9.000,7.000,10.000,10.000,10.000,9.000,9.000,9.000,8.000,8.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.1,005,Attributal/visual,1,2,0.000,7.667,apple juice,none,8.000,7.333,7.667,8.667,5.333,9.000,7.000,8.000,9.000,9.000,4.000,9.000,10.000,4.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.1,006,Abstract,3,5,6.688,8.944,fast food,ancient temple,8.667,8.833,9.333,8.833,9.000,9.000,7.000,10.000,9.000,9.500,8.000,9.000,10.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.1,022,Abstract,1,5,4.891,8.500,knowledge,journey,7.667,8.833,9.000,8.833,8.000,8.667,7.000,8.000,8.000,9.500,8.000,9.000,10.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.1,023,Abstract,2,5,4.685,8.500,digital access,locked gate,8.000,8.500,9.000,8.000,8.667,8.667,7.000,9.000,8.000,N/A,8.000,9.000,9.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.1,024,Abstract,1,2,1.085,8.556,travel,key,8.333,9.000,8.333,8.667,8.000,9.000,7.000,9.000,9.000,10.000,8.000,9.000,9.000,7.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.1,040,Abstract,1,5,2.714,8.667,longing,digital technology,8.000,9.333,8.667,8.667,9.000,8.333,7.000,9.000,8.000,10.000,9.000,9.000,9.000,9.000,8.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.1,041,Concrete,1,5,3.966,9.125,social media validation,dog behavior,9.000,9.000,9.333,9.500,9.000,9.000,N/A,9.000,9.000,9.000,9.000,9.000,10.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.1,042,Concrete,1,3,1.348,8.714,ocean pollution,ashtray,9.000,8.667,8.500,9.000,8.333,9.000,N/A,9.000,9.000,9.000,8.000,9.000,N/A,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.1,043,Concrete,3,5,2.715,7.722,pain relief,football collision,7.667,8.500,7.000,8.500,6.667,8.000,7.000,8.000,8.000,9.500,8.000,8.000,9.000,4.000,8.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.1,126,Abstract,1,2,3.712,8.812,passion,elemental conflict,8.000,8.833,9.333,8.833,8.667,9.000,7.000,9.000,N/A,9.500,8.000,9.000,10.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.1,127,Concrete,1,2,1.619,8.667,relationship stability,stone foundation,8.333,8.667,9.000,8.667,8.333,9.000,7.000,9.000,9.000,9.000,8.000,9.000,10.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.1,128,Concrete,1,2,1.785,7.333,time,water,6.667,7.667,7.667,8.000,5.000,9.000,7.000,4.000,9.000,8.000,6.000,9.000,9.000,5.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.1,166,Concrete,1,2,0.000,7.444,exhaustion,none,6.667,7.667,8.000,8.667,6.000,7.667,7.000,6.000,7.000,9.000,6.000,8.000,10.000,6.000,8.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.1,167,Concrete,2,5,4.211,8.750,global oppression,prison cage,8.667,9.000,8.500,8.333,9.000,9.000,7.000,10.000,9.000,9.000,9.000,9.000,9.000,8.000,N/A
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.1,168,Concrete,2,2,2.078,8.611,inner growth,flowers,8.333,8.833,8.667,8.500,8.333,9.000,7.000,9.000,9.000,9.500,8.000,9.000,9.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.1,182,Abstract,2,4,4.892,8.333,communication,flowers,8.000,8.333,8.667,8.333,8.333,8.333,7.000,9.000,8.000,9.000,8.000,8.000,9.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.1,183,Concrete,5,5,2.116,9.000,emotional healing,jigsaw puzzle,8.667,9.333,9.000,8.667,9.333,9.000,7.000,10.000,9.000,10.000,9.000,9.000,9.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.1,184,Abstract,3,5,3.852,8.714,life cycle,marathon,8.667,9.000,8.500,7.000,9.000,9.000,7.000,10.000,9.000,N/A,9.000,9.000,N/A,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.1,185,Abstract,5,5,1.746,8.667,love,war,8.333,8.667,9.000,8.333,8.667,9.000,7.000,9.000,9.000,9.000,8.000,9.000,9.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.1,196,Concrete,4,5,5.895,7.222,life decision,journey,6.667,7.333,7.667,7.000,6.000,8.667,6.000,6.000,8.000,7.000,6.000,9.000,8.000,6.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.1,197,Abstract,1,5,2.674,8.222,inner power,glowing light,7.667,8.000,9.000,8.667,7.667,8.333,7.000,8.000,8.000,9.000,7.000,8.000,10.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.1,243,Concrete,1,3,2.836,8.722,life direction,compass,8.333,9.167,8.667,8.500,8.667,9.000,7.000,9.000,9.000,9.500,9.000,9.000,9.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.2,001,Concrete,1,5,2.121,8.667,speed,jet engine,7.500,9.000,9.500,8.667,N/A,8.667,7.000,N/A,8.000,9.000,N/A,9.000,10.000,N/A,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.2,002,Attributal/visual,2,2,1.361,8.000,alcoholism,shattered bottle,7.333,8.000,8.667,8.000,7.000,9.000,7.000,6.000,9.000,N/A,7.000,9.000,9.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.2,004,Attributal/visual,2,2,1.260,8.889,climate control,air conditioner,9.000,9.333,8.333,8.667,9.000,9.000,7.000,10.000,10.000,10.000,9.000,9.000,9.000,8.000,8.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.2,005,Attributal/visual,1,2,0.000,7.667,apple juice,none,8.000,7.333,7.667,8.667,5.333,9.000,7.000,8.000,9.000,9.000,4.000,9.000,10.000,4.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.2,006,Abstract,3,5,6.688,8.944,fast food,ancient temple,8.667,8.833,9.333,8.833,9.000,9.000,7.000,10.000,9.000,9.500,8.000,9.000,10.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.2,022,Abstract,1,5,4.891,8.500,knowledge,journey,7.667,8.833,9.000,8.833,8.000,8.667,7.000,8.000,8.000,9.500,8.000,9.000,10.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.2,023,Abstract,2,5,4.685,8.500,digital access,locked gate,8.000,8.500,9.000,8.000,8.667,8.667,7.000,9.000,8.000,N/A,8.000,9.000,9.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.2,024,Abstract,1,2,1.085,8.556,travel,key,8.333,9.000,8.333,8.667,8.000,9.000,7.000,9.000,9.000,10.000,8.000,9.000,9.000,7.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.2,040,Abstract,1,5,2.714,8.667,longing,digital technology,8.000,9.333,8.667,8.667,9.000,8.333,7.000,9.000,8.000,10.000,9.000,9.000,9.000,9.000,8.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.2,041,Concrete,1,4,3.966,9.125,social media validation,dog behavior,9.000,9.000,9.333,9.500,9.000,9.000,N/A,9.000,9.000,9.000,9.000,9.000,10.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.2,042,Concrete,1,3,1.348,8.714,ocean pollution,ashtray,9.000,8.667,8.500,9.000,8.333,9.000,N/A,9.000,9.000,9.000,8.000,9.000,N/A,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.2,043,Concrete,3,5,2.715,7.722,pain relief,football collision,7.667,8.500,7.000,8.500,6.667,8.000,7.000,8.000,8.000,9.500,8.000,8.000,9.000,4.000,8.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.2,126,Abstract,1,2,3.712,8.812,passion,elemental conflict,8.000,8.833,9.333,8.833,8.667,9.000,7.000,9.000,N/A,9.500,8.000,9.000,10.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.2,127,Concrete,1,2,1.619,8.667,relationship stability,stone foundation,8.333,8.667,9.000,8.667,8.333,9.000,7.000,9.000,9.000,9.000,8.000,9.000,10.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.2,128,Concrete,1,2,1.785,7.333,time,water,6.667,7.667,7.667,8.000,5.000,9.000,7.000,4.000,9.000,8.000,6.000,9.000,9.000,5.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.2,166,Concrete,1,2,0.000,7.444,exhaustion,none,6.667,7.667,8.000,8.667,6.000,7.667,7.000,6.000,7.000,9.000,6.000,8.000,10.000,6.000,8.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.2,167,Concrete,2,5,4.211,8.750,global oppression,prison cage,8.667,9.000,8.500,8.333,9.000,9.000,7.000,10.000,9.000,9.000,9.000,9.000,9.000,8.000,N/A
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.2,168,Concrete,2,2,2.078,8.611,inner growth,flowers,8.333,8.833,8.667,8.500,8.333,9.000,7.000,9.000,9.000,9.500,8.000,9.000,9.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.2,182,Abstract,2,4,4.892,8.333,communication,flowers,8.000,8.333,8.667,8.333,8.333,8.333,7.000,9.000,8.000,9.000,8.000,8.000,9.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.2,183,Concrete,3,3,2.027,9.111,emotional wholeness,jigsaw puzzle,8.667,9.333,9.333,9.000,9.333,9.000,7.000,10.000,9.000,10.000,9.000,9.000,10.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.2,184,Abstract,3,5,3.852,8.714,life cycle,marathon,8.667,9.000,8.500,7.000,9.000,9.000,7.000,10.000,9.000,N/A,9.000,9.000,N/A,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.2,185,Abstract,5,5,1.746,8.667,love,war,8.333,8.667,9.000,8.333,8.667,9.000,7.000,9.000,9.000,9.000,8.000,9.000,9.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.2,196,Concrete,4,5,5.895,7.222,life decision,journey,6.667,7.333,7.667,7.000,6.000,8.667,6.000,6.000,8.000,7.000,6.000,9.000,8.000,6.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.2,197,Abstract,1,5,2.674,8.222,inner power,glowing light,7.667,8.000,9.000,8.667,7.667,8.333,7.000,8.000,8.000,9.000,7.000,8.000,10.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,5,0.2,243,Concrete,1,3,2.836,8.722,life direction,compass,8.333,9.167,8.667,8.500,8.667,9.000,7.000,9.000,9.000,9.500,9.000,9.000,9.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.05,001,Concrete,8,10,3.559,9.000,pesticide pollution,industrial pollution,8.500,9.000,9.500,8.667,N/A,9.333,7.000,N/A,10.000,9.000,N/A,9.000,10.000,N/A,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.05,002,Attributal/visual,5,7,2.421,8.333,alcoholism,catastrophe,8.333,8.333,8.333,8.333,8.000,8.667,7.000,9.000,9.000,9.000,7.000,9.000,9.000,8.000,8.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.05,004,Attributal/visual,8,10,2.324,8.667,climate control,air conditioner,8.333,9.000,8.667,8.667,8.333,9.000,7.000,9.000,9.000,10.000,8.000,9.000,9.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.05,005,Attributal/visual,1,2,0.000,7.667,apple juice,none,8.000,7.333,7.667,8.667,5.333,9.000,7.000,8.000,9.000,9.000,4.000,9.000,10.000,4.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.05,006,Abstract,3,10,6.688,8.944,fast food,ancient temple,8.667,8.833,9.333,8.833,9.000,9.000,7.000,10.000,9.000,9.500,8.000,9.000,10.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.05,022,Abstract,1,10,4.891,8.500,knowledge,journey,7.667,8.833,9.000,8.833,8.000,8.667,7.000,8.000,8.000,9.500,8.000,9.000,10.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.05,023,Abstract,2,10,4.685,8.500,digital access,locked gate,8.000,8.500,9.000,8.000,8.667,8.667,7.000,9.000,8.000,N/A,8.000,9.000,9.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.05,024,Abstract,1,2,1.085,8.556,travel,key,8.333,9.000,8.333,8.667,8.000,9.000,7.000,9.000,9.000,10.000,8.000,9.000,9.000,7.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.05,040,Abstract,9,10,3.388,8.778,digital addiction,chains,8.000,9.333,9.000,8.667,9.000,8.667,7.000,9.000,8.000,10.000,9.000,9.000,9.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.05,041,Concrete,7,10,4.920,8.778,social media validation,dog feeding,8.333,9.000,9.000,8.333,9.000,9.000,7.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.05,042,Concrete,1,3,1.348,8.714,ocean pollution,ashtray,9.000,8.667,8.500,9.000,8.333,9.000,N/A,9.000,9.000,9.000,8.000,9.000,N/A,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.05,043,Concrete,7,10,2.929,5.875,brain injury,football helmet,5.000,6.000,6.667,8.500,3.333,6.667,7.000,4.000,4.000,N/A,4.000,8.000,10.000,2.000,8.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.05,126,Abstract,1,2,3.712,8.812,passion,elemental conflict,8.000,8.833,9.333,8.833,8.667,9.000,7.000,9.000,N/A,9.500,8.000,9.000,10.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.05,127,Concrete,1,2,1.619,8.667,relationship stability,stone foundation,8.333,8.667,9.000,8.667,8.333,9.000,7.000,9.000,9.000,9.000,8.000,9.000,10.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.05,128,Concrete,10,10,2.583,8.667,time bomb,water bubble,8.333,8.667,9.000,8.667,8.333,9.000,7.000,9.000,9.000,9.000,8.000,9.000,10.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.05,166,Concrete,1,2,0.000,7.444,exhaustion,none,6.667,7.667,8.000,8.667,6.000,7.667,7.000,6.000,7.000,9.000,6.000,8.000,10.000,6.000,8.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.05,167,Concrete,2,5,4.211,8.750,global oppression,prison cage,8.667,9.000,8.500,8.333,9.000,9.000,7.000,10.000,9.000,9.000,9.000,9.000,9.000,8.000,N/A
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.05,168,Concrete,6,10,3.548,8.611,emotional healing,garden,8.333,8.833,8.667,8.500,8.333,9.000,7.000,9.000,9.000,9.500,8.000,9.000,9.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.05,182,Abstract,2,4,4.892,8.333,communication,flowers,8.000,8.333,8.667,8.333,8.333,8.333,7.000,9.000,8.000,9.000,8.000,8.000,9.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.05,183,Concrete,8,10,3.256,9.111,emotional wholeness,jigsaw puzzle,8.667,9.333,9.333,9.000,9.333,9.000,7.000,10.000,9.000,10.000,9.000,9.000,10.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.05,184,Abstract,8,10,4.463,8.444,human life cycle,running race,8.333,8.667,8.333,8.333,8.000,9.000,7.000,9.000,9.000,9.000,8.000,9.000,9.000,7.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.05,185,Abstract,5,5,1.746,8.667,love,war,8.333,8.667,9.000,8.333,8.667,9.000,7.000,9.000,9.000,9.000,8.000,9.000,9.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.05,196,Concrete,4,10,5.895,7.222,life decision,journey,6.667,7.333,7.667,7.000,6.000,8.667,6.000,6.000,8.000,7.000,6.000,9.000,8.000,6.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.05,197,Abstract,10,10,2.863,7.333,harmful speech,sword,6.667,7.000,8.333,8.333,8.333,5.333,7.000,9.000,4.000,9.000,8.000,4.000,9.000,8.000,8.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.05,243,Concrete,1,3,2.836,8.722,life direction,compass,8.333,9.167,8.667,8.500,8.667,9.000,7.000,9.000,9.000,9.500,9.000,9.000,9.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.1,001,Concrete,8,10,3.559,9.000,pesticide pollution,industrial pollution,8.500,9.000,9.500,8.667,N/A,9.333,7.000,N/A,10.000,9.000,N/A,9.000,10.000,N/A,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.1,002,Attributal/visual,2,2,1.361,8.000,alcoholism,shattered bottle,7.333,8.000,8.667,8.000,7.000,9.000,7.000,6.000,9.000,N/A,7.000,9.000,9.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.1,004,Attributal/visual,2,2,1.260,8.889,climate control,air conditioner,9.000,9.333,8.333,8.667,9.000,9.000,7.000,10.000,10.000,10.000,9.000,9.000,9.000,8.000,8.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.1,005,Attributal/visual,1,2,0.000,7.667,apple juice,none,8.000,7.333,7.667,8.667,5.333,9.000,7.000,8.000,9.000,9.000,4.000,9.000,10.000,4.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.1,006,Abstract,3,10,6.688,8.944,fast food,ancient temple,8.667,8.833,9.333,8.833,9.000,9.000,7.000,10.000,9.000,9.500,8.000,9.000,10.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.1,022,Abstract,1,10,4.891,8.500,knowledge,journey,7.667,8.833,9.000,8.833,8.000,8.667,7.000,8.000,8.000,9.500,8.000,9.000,10.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.1,023,Abstract,2,10,4.685,8.500,digital access,locked gate,8.000,8.500,9.000,8.000,8.667,8.667,7.000,9.000,8.000,N/A,8.000,9.000,9.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.1,024,Abstract,1,2,1.085,8.556,travel,key,8.333,9.000,8.333,8.667,8.000,9.000,7.000,9.000,9.000,10.000,8.000,9.000,9.000,7.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.1,040,Abstract,9,10,3.388,8.778,digital addiction,chains,8.000,9.333,9.000,8.667,9.000,8.667,7.000,9.000,8.000,10.000,9.000,9.000,9.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.1,041,Concrete,7,10,4.920,8.778,social media validation,dog feeding,8.333,9.000,9.000,8.333,9.000,9.000,7.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.1,042,Concrete,1,3,1.348,8.714,ocean pollution,ashtray,9.000,8.667,8.500,9.000,8.333,9.000,N/A,9.000,9.000,9.000,8.000,9.000,N/A,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.1,043,Concrete,7,10,2.929,5.875,brain injury,football helmet,5.000,6.000,6.667,8.500,3.333,6.667,7.000,4.000,4.000,N/A,4.000,8.000,10.000,2.000,8.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.1,126,Abstract,1,2,3.712,8.812,passion,elemental conflict,8.000,8.833,9.333,8.833,8.667,9.000,7.000,9.000,N/A,9.500,8.000,9.000,10.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.1,127,Concrete,1,2,1.619,8.667,relationship stability,stone foundation,8.333,8.667,9.000,8.667,8.333,9.000,7.000,9.000,9.000,9.000,8.000,9.000,10.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.1,128,Concrete,1,2,1.785,7.333,time,water,6.667,7.667,7.667,8.000,5.000,9.000,7.000,4.000,9.000,8.000,6.000,9.000,9.000,5.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.1,166,Concrete,1,2,0.000,7.444,exhaustion,none,6.667,7.667,8.000,8.667,6.000,7.667,7.000,6.000,7.000,9.000,6.000,8.000,10.000,6.000,8.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.1,167,Concrete,2,5,4.211,8.750,global oppression,prison cage,8.667,9.000,8.500,8.333,9.000,9.000,7.000,10.000,9.000,9.000,9.000,9.000,9.000,8.000,N/A
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.1,168,Concrete,2,2,2.078,8.611,inner growth,flowers,8.333,8.833,8.667,8.500,8.333,9.000,7.000,9.000,9.000,9.500,8.000,9.000,9.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.1,182,Abstract,2,4,4.892,8.333,communication,flowers,8.000,8.333,8.667,8.333,8.333,8.333,7.000,9.000,8.000,9.000,8.000,8.000,9.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.1,183,Concrete,8,10,3.256,9.111,emotional wholeness,jigsaw puzzle,8.667,9.333,9.333,9.000,9.333,9.000,7.000,10.000,9.000,10.000,9.000,9.000,10.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.1,184,Abstract,8,10,4.463,8.444,human life cycle,running race,8.333,8.667,8.333,8.333,8.000,9.000,7.000,9.000,9.000,9.000,8.000,9.000,9.000,7.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.1,185,Abstract,5,5,1.746,8.667,love,war,8.333,8.667,9.000,8.333,8.667,9.000,7.000,9.000,9.000,9.000,8.000,9.000,9.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.1,196,Concrete,4,10,5.895,7.222,life decision,journey,6.667,7.333,7.667,7.000,6.000,8.667,6.000,6.000,8.000,7.000,6.000,9.000,8.000,6.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.1,197,Abstract,10,10,2.863,7.333,harmful speech,sword,6.667,7.000,8.333,8.333,8.333,5.333,7.000,9.000,4.000,9.000,8.000,4.000,9.000,8.000,8.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.1,243,Concrete,1,3,2.836,8.722,life direction,compass,8.333,9.167,8.667,8.500,8.667,9.000,7.000,9.000,9.000,9.500,9.000,9.000,9.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.2,001,Concrete,8,10,3.559,9.000,pesticide pollution,industrial pollution,8.500,9.000,9.500,8.667,N/A,9.333,7.000,N/A,10.000,9.000,N/A,9.000,10.000,N/A,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.2,002,Attributal/visual,2,2,1.361,8.000,alcoholism,shattered bottle,7.333,8.000,8.667,8.000,7.000,9.000,7.000,6.000,9.000,N/A,7.000,9.000,9.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.2,004,Attributal/visual,2,2,1.260,8.889,climate control,air conditioner,9.000,9.333,8.333,8.667,9.000,9.000,7.000,10.000,10.000,10.000,9.000,9.000,9.000,8.000,8.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.2,005,Attributal/visual,1,2,0.000,7.667,apple juice,none,8.000,7.333,7.667,8.667,5.333,9.000,7.000,8.000,9.000,9.000,4.000,9.000,10.000,4.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.2,006,Abstract,3,10,6.688,8.944,fast food,ancient temple,8.667,8.833,9.333,8.833,9.000,9.000,7.000,10.000,9.000,9.500,8.000,9.000,10.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.2,022,Abstract,1,10,4.891,8.500,knowledge,journey,7.667,8.833,9.000,8.833,8.000,8.667,7.000,8.000,8.000,9.500,8.000,9.000,10.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.2,023,Abstract,2,10,4.685,8.500,digital access,locked gate,8.000,8.500,9.000,8.000,8.667,8.667,7.000,9.000,8.000,N/A,8.000,9.000,9.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.2,024,Abstract,1,2,1.085,8.556,travel,key,8.333,9.000,8.333,8.667,8.000,9.000,7.000,9.000,9.000,10.000,8.000,9.000,9.000,7.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.2,040,Abstract,9,10,3.388,8.778,digital addiction,chains,8.000,9.333,9.000,8.667,9.000,8.667,7.000,9.000,8.000,10.000,9.000,9.000,9.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.2,041,Concrete,1,4,3.966,9.125,social media validation,dog behavior,9.000,9.000,9.333,9.500,9.000,9.000,N/A,9.000,9.000,9.000,9.000,9.000,10.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.2,042,Concrete,1,3,1.348,8.714,ocean pollution,ashtray,9.000,8.667,8.500,9.000,8.333,9.000,N/A,9.000,9.000,9.000,8.000,9.000,N/A,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.2,043,Concrete,7,10,2.929,5.875,brain injury,football helmet,5.000,6.000,6.667,8.500,3.333,6.667,7.000,4.000,4.000,N/A,4.000,8.000,10.000,2.000,8.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.2,126,Abstract,1,2,3.712,8.812,passion,elemental conflict,8.000,8.833,9.333,8.833,8.667,9.000,7.000,9.000,N/A,9.500,8.000,9.000,10.000,9.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.2,127,Concrete,1,2,1.619,8.667,relationship stability,stone foundation,8.333,8.667,9.000,8.667,8.333,9.000,7.000,9.000,9.000,9.000,8.000,9.000,10.000,8.000,9.000
bedrock-mantle_us-east-1_google_gemma-4-31b,10,0.2,128,Concrete,1,2,1.785,7.333,time,water,6.667,7.667,7.667,8.000,5.000,9.000,7.000,4.000,9.000,8.000,6.000,9.000,9.000,5.000,9.000
