id,metaphor,mean_judge_score,judge_metaphor_consistency,judge_analogy_appropriateness,judge_conceptual_integration,judge_model_gemini-3.5-flash,judge_model_claude-opus-4-8,judge_model_llama-4-maverick,metaphor_consistency__gemini-3.5-flash,metaphor_consistency__claude-opus-4-8,metaphor_consistency__llama-4-maverick,analogy_appropriateness__gemini-3.5-flash,analogy_appropriateness__claude-opus-4-8,analogy_appropriateness__llama-4-maverick,conceptual_integration__gemini-3.5-flash,conceptual_integration__claude-opus-4-8,conceptual_integration__llama-4-maverick
188,Love is a sickness,8.833,8.333,8.833,9.333,8.833,8.667,9.000,7.000,9.000,9.000,9.500,8.000,9.000,10.000,9.000,9.000
189,My brain is a box of crayons,8.889,8.667,9.333,8.667,8.667,9.000,9.000,7.000,10.000,9.000,10.000,9.000,9.000,9.000,8.000,9.000
190,My heart is a blank canvas waiting to be painted.,7.333,6.000,8.000,8.000,8.333,5.333,8.333,7.000,4.000,7.000,9.000,6.000,9.000,9.000,6.000,9.000
191,My heart is a dancer,8.944,8.667,9.167,9.000,8.833,9.000,9.000,7.000,10.000,9.000,9.500,9.000,9.000,10.000,8.000,9.000
192,My heart is a garden tired with autumn,9.111,8.667,9.333,9.333,9.000,9.333,9.000,7.000,10.000,9.000,10.000,9.000,9.000,10.000,9.000,9.000
193,My jaw is a rollercoaster gripping the tracks.,8.375,8.667,8.000,8.333,8.000,7.667,9.333,7.000,9.000,10.000,N/A,7.000,9.000,9.000,7.000,9.000
194,My mind is a desert and I am an explorer.,8.889,8.333,9.333,9.000,9.000,8.667,9.000,7.000,9.000,9.000,10.000,9.000,9.000,10.000,8.000,9.000
195,My mouth is a music box.,8.889,8.667,9.000,9.000,8.333,9.333,9.000,7.000,10.000,9.000,9.000,9.000,9.000,9.000,9.000,9.000
198,My soul is a bird with broken wings.,8.000,7.333,8.333,8.333,8.333,7.000,8.667,7.000,7.000,8.000,9.000,7.000,9.000,9.000,7.000,9.000
199,Night is a toddler crawling on the floor.,8.889,8.333,9.333,9.000,8.667,9.000,9.000,7.000,9.000,9.000,10.000,9.000,9.000,9.000,9.000,9.000
200,Our love is a board game.,8.556,8.333,8.667,8.667,8.333,8.333,9.000,7.000,9.000,9.000,9.000,8.000,9.000,9.000,8.000,9.000
201,The blazing sun is a ballroom dancer.,8.944,8.667,8.833,9.333,8.833,9.000,9.000,7.000,10.000,9.000,9.500,8.000,9.000,10.000,9.000,9.000
202,The earth is a succulent Sunday roast.,8.333,7.667,9.000,8.333,8.667,8.000,8.333,7.000,8.000,8.000,10.000,8.000,9.000,9.000,8.000,8.000
203,The earth is a mother.,8.562,8.333,9.000,8.500,8.250,8.667,8.667,7.000,9.000,9.000,N/A,9.000,9.000,9.500,8.000,8.000
204,The mind is a glass fortress.,8.444,8.000,8.333,9.000,8.667,7.667,9.000,7.000,8.000,9.000,9.000,7.000,9.000,10.000,8.000,9.000
205,The moon's crescent is a smile.,8.667,8.333,9.000,8.667,8.667,8.333,9.000,7.000,9.000,9.000,10.000,8.000,9.000,9.000,8.000,9.000
206,The ocean is a turbid grave.,8.833,8.333,8.833,9.333,8.833,8.667,9.000,7.000,9.000,9.000,9.500,8.000,9.000,10.000,9.000,9.000
207,The planet is a sinking ship.,8.500,8.333,8.833,8.333,8.500,8.000,9.000,7.000,9.000,9.000,9.500,8.000,9.000,9.000,7.000,9.000
208,The snow is a soft bed.,8.778,8.333,9.000,9.000,9.000,8.333,9.000,7.000,9.000,9.000,10.000,8.000,9.000,10.000,8.000,9.000
209,The sun is a wounded deer.,8.000,8.000,8.667,7.333,7.667,8.000,8.333,7.000,9.000,8.000,9.000,8.000,9.000,7.000,7.000,8.000
210,The world is a paintbrush,8.611,8.333,8.833,8.667,8.500,8.333,9.000,7.000,9.000,9.000,9.500,8.000,9.000,9.000,8.000,9.000
211,The world is a stage,8.722,8.333,9.167,8.667,8.833,8.667,8.667,7.000,9.000,9.000,9.500,9.000,9.000,10.000,8.000,8.000
212,Thought is a vulture,8.778,8.333,8.667,9.333,8.667,8.667,9.000,7.000,9.000,9.000,9.000,8.000,9.000,10.000,9.000,9.000
213,Time is a bus and I am running behind.,8.444,8.333,8.667,8.333,8.333,8.333,8.667,7.000,9.000,9.000,9.000,8.000,9.000,9.000,8.000,8.000
214,Time is a thief,8.778,8.667,9.000,8.667,8.000,9.333,9.000,7.000,10.000,9.000,9.000,9.000,9.000,8.000,9.000,9.000
215,True love is like plum blossoms in bloom.,8.444,8.000,8.333,9.000,8.667,7.667,9.000,7.000,8.000,9.000,9.000,7.000,9.000,10.000,8.000,9.000
216,Winter is a bony old crone,8.889,8.333,9.000,9.333,9.000,8.667,9.000,7.000,9.000,9.000,10.000,8.000,9.000,10.000,9.000,9.000
217,Work is a living hell,8.750,8.333,9.000,9.000,8.500,8.667,9.000,7.000,9.000,9.000,10.000,8.000,9.000,N/A,9.000,9.000
218,Your face is a canvas,8.889,8.000,9.333,9.333,9.000,9.000,8.667,7.000,9.000,8.000,10.000,9.000,9.000,10.000,9.000,9.000
219,Your mind is a powerful tool,8.333,8.000,8.667,8.333,8.333,7.667,9.000,7.000,8.000,9.000,9.000,8.000,9.000,9.000,7.000,9.000
220,A friend is a treasure,8.111,7.333,8.667,8.333,8.667,6.667,9.000,7.000,6.000,9.000,9.000,8.000,9.000,10.000,6.000,9.000
221,He was a cheetah in the race.,8.222,7.667,9.000,8.000,8.333,8.000,8.333,7.000,8.000,8.000,9.000,9.000,9.000,9.000,7.000,8.000
222,He's the diamond in the rough.,7.556,6.333,8.000,8.333,7.667,6.000,9.000,6.000,4.000,9.000,8.000,7.000,9.000,9.000,7.000,9.000
223,His anger is a wildfire waiting to ignite.,8.556,8.333,8.667,8.667,8.333,8.333,9.000,7.000,9.000,9.000,9.000,8.000,9.000,9.000,8.000,9.000
224,His fear is his prison.,8.500,7.667,8.833,9.000,8.833,8.000,8.667,7.000,8.000,8.000,9.500,8.000,9.000,10.000,8.000,9.000
225,India's culture is a salad bowl.,8.833,8.333,9.167,9.000,8.833,8.667,9.000,7.000,9.000,9.000,9.500,9.000,9.000,10.000,8.000,9.000
226,Laughter is the best medicine.,8.222,8.333,8.333,8.000,8.333,7.667,8.667,7.000,9.000,9.000,9.000,7.000,9.000,9.000,7.000,8.000
227,Life is a maze.,8.667,8.333,8.667,9.000,8.667,8.333,9.000,7.000,9.000,9.000,9.000,8.000,9.000,10.000,8.000,9.000
228,The classroom was a zoo.,8.389,8.000,8.833,8.333,8.500,8.000,8.667,7.000,9.000,8.000,9.500,8.000,9.000,9.000,7.000,9.000
229,The mind is a computer.,8.333,8.333,8.667,8.000,8.000,8.000,9.000,7.000,9.000,9.000,9.000,8.000,9.000,8.000,7.000,9.000
230,The professor was a guiding light for him.,8.812,8.000,9.167,9.000,8.500,9.000,9.000,7.000,9.000,N/A,9.500,9.000,9.000,9.000,9.000,9.000
231,The stormy ocean was a raging bull.,8.833,8.333,9.167,9.000,8.500,9.000,9.000,7.000,9.000,9.000,9.500,9.000,9.000,9.000,9.000,9.000
232,Airports are pools of money from passenger fees.,8.444,8.000,8.667,8.667,8.333,8.000,9.000,7.000,8.000,9.000,9.000,8.000,9.000,9.000,8.000,9.000
233,The soul is envy's favourite meal.,8.889,8.333,9.000,9.333,9.000,8.667,9.000,7.000,9.000,9.000,10.000,8.000,9.000,10.000,9.000,9.000
234,I really hope society wakes up soon.,8.556,8.000,8.667,9.000,8.667,8.333,8.667,7.000,9.000,8.000,9.000,8.000,9.000,10.000,8.000,9.000
235,My computer slipped into a coma.,9.000,8.333,9.333,9.333,9.000,9.000,9.000,7.000,9.000,9.000,10.000,9.000,9.000,10.000,9.000,9.000
236,The French bourgeoisie has rushed into a blind alley.,7.500,6.667,7.000,8.667,8.500,6.000,8.333,7.000,5.000,8.000,N/A,6.000,8.000,10.000,7.000,9.000
237,My future is a cloudy sky.,8.444,7.667,8.667,9.000,8.667,8.000,8.667,7.000,8.000,8.000,9.000,8.000,9.000,10.000,8.000,9.000
238,The company is letting money walk out the door.,8.222,8.333,8.667,7.667,7.667,8.000,9.000,7.000,9.000,9.000,9.000,8.000,9.000,7.000,7.000,9.000
239,Her mind was a lighthouse beacon to him.,8.944,8.667,9.167,9.000,8.500,9.333,9.000,7.000,10.000,9.000,9.500,9.000,9.000,9.000,9.000,9.000
240,He had a full bag of memories to unload.,8.778,8.333,9.000,9.000,9.000,8.333,9.000,7.000,9.000,9.000,10.000,8.000,9.000,10.000,8.000,9.000
241,He has a heart of gold.,9.111,8.667,9.333,9.333,9.000,9.333,9.000,7.000,10.000,9.000,10.000,9.000,9.000,10.000,9.000,9.000
242,He is drowning in a sea of work.,8.333,8.667,8.333,8.000,7.000,9.333,8.667,7.000,10.000,9.000,7.000,9.000,9.000,7.000,9.000,8.000
244,He is the shining star of our school.,8.556,8.333,8.667,8.667,8.333,8.333,9.000,7.000,9.000,9.000,9.000,8.000,9.000,9.000,8.000,9.000
245,He is the sun of my sky.,8.444,8.000,8.667,8.667,8.333,8.333,8.667,7.000,9.000,8.000,9.000,8.000,9.000,9.000,8.000,9.000
246,He liked the gym as much as a case of the measles.,8.333,8.333,9.000,7.667,8.333,8.000,8.667,7.000,9.000,9.000,10.000,8.000,9.000,8.000,7.000,8.000
247,He looked neither one way nor the other way but sat like a carved image.,8.722,8.000,9.167,9.000,8.500,9.000,8.667,7.000,9.000,8.000,9.500,9.000,9.000,9.000,9.000,9.000
248,"He should be in his car now, driving away, and yet here he was, like a fly caught in a spiderweb.",8.222,7.667,8.667,8.333,8.000,7.667,9.000,6.000,8.000,9.000,9.000,8.000,9.000,9.000,7.000,9.000
249,He wanted to set sail on the ocean of love but instead wasted away in the desert.,8.667,8.333,9.333,8.333,8.667,8.667,8.667,7.000,9.000,9.000,10.000,9.000,9.000,9.000,8.000,8.000
250,Her forehead was like an old map.,9.111,8.667,9.333,9.333,9.000,9.333,9.000,7.000,10.000,9.000,10.000,9.000,9.000,10.000,9.000,9.000
