group_id,pair_1_id,pair_2_id,pair_3_id,pair_4_id,pair_5_id,pair_1_metaphor,pair_2_metaphor,pair_3_metaphor,pair_4_metaphor,pair_5_metaphor,pair_1_zero_image,pair_2_zero_image,pair_3_zero_image,pair_4_zero_image,pair_5_zero_image,pair_1_last_image,pair_2_last_image,pair_3_last_image,pair_4_last_image,pair_5_last_image
41,107,025,074,082,045,You cannot afford to gamble with your dental health.,A deadline is a trap closing in on a worker.,Milo allows you to wake up as a champion.,A spoonful of NyQuil is a concentrated flock of sleep.,A sweet tooth is a predator chasing down your smile.,visual_reasoning/experiment_1/zero_filtered/107.png,visual_reasoning/experiment_1/zero_filtered/025.png,visual_reasoning/experiment_1/zero_filtered/074.png,visual_reasoning/experiment_1/zero_filtered/082.png,visual_reasoning/experiment_1/zero_filtered/045.png,visual_reasoning/experiment_1/last_filtered/107.png,visual_reasoning/experiment_1/last_filtered/025.png,visual_reasoning/experiment_1/last_filtered/074.png,visual_reasoning/experiment_1/last_filtered/082.png,visual_reasoning/experiment_1/last_filtered/045.png
42,062,130,098,071,247,Your smile is a row of bright lightbulbs.,Global warming is a ticking bomb,A work boot is a heavy-duty bulldozer.,Coffee beans are heavy eyelids opening wide.,He looked neither one way nor the other way but sat like a carved image.,visual_reasoning/experiment_1/zero_filtered/062.png,visual_reasoning/experiment_1/zero_filtered/130.png,visual_reasoning/experiment_1/zero_filtered/098.png,visual_reasoning/experiment_1/zero_filtered/071.png,visual_reasoning/experiment_1/zero_filtered/247.png,visual_reasoning/experiment_1/last_filtered/062.png,visual_reasoning/experiment_1/last_filtered/130.png,visual_reasoning/experiment_1/last_filtered/098.png,visual_reasoning/experiment_1/last_filtered/071.png,visual_reasoning/experiment_1/last_filtered/247.png
43,097,141,028,020,226,A strip of adhesive tape is a flypaper trap catching airplanes in mid-air.,Love is in your bones,Jaywalking is a death sentence.,Buying cigarettes is throwing money away.,Laughter is the best medicine.,visual_reasoning/experiment_1/zero_filtered/097.png,visual_reasoning/experiment_1/zero_filtered/141.png,visual_reasoning/experiment_1/zero_filtered/028.png,visual_reasoning/experiment_1/zero_filtered/020.png,visual_reasoning/experiment_1/zero_filtered/226.png,visual_reasoning/experiment_1/last_filtered/097.png,visual_reasoning/experiment_1/last_filtered/141.png,visual_reasoning/experiment_1/last_filtered/028.png,visual_reasoning/experiment_1/last_filtered/020.png,visual_reasoning/experiment_1/last_filtered/226.png
44,227,147,049,064,216,Life is a maze.,The faculty meeting was a nightmare,Heinz ketchup is a stack of fresh tomatoes in a bottle.,The lollipop is carved straight out of an apple.,Winter is a bony old crone,visual_reasoning/experiment_1/zero_filtered/227.png,visual_reasoning/experiment_1/zero_filtered/147.png,visual_reasoning/experiment_1/zero_filtered/049.png,visual_reasoning/experiment_1/zero_filtered/064.png,visual_reasoning/experiment_1/zero_filtered/216.png,visual_reasoning/experiment_1/last_filtered/227.png,visual_reasoning/experiment_1/last_filtered/147.png,visual_reasoning/experiment_1/last_filtered/049.png,visual_reasoning/experiment_1/last_filtered/064.png,visual_reasoning/experiment_1/last_filtered/216.png
45,049,063,099,077,054,Heinz ketchup is a stack of fresh tomatoes in a bottle.,Education is a factory that shapes individuals into uniform blocks.,A high heel shoe is a striking snake.,Nescafé is a battery.,An ergonomic pillow is a sleep supplement.,visual_reasoning/experiment_1/zero_filtered/049.png,visual_reasoning/experiment_1/zero_filtered/063.png,visual_reasoning/experiment_1/zero_filtered/099.png,visual_reasoning/experiment_1/zero_filtered/077.png,visual_reasoning/experiment_1/zero_filtered/054.png,visual_reasoning/experiment_1/last_filtered/049.png,visual_reasoning/experiment_1/last_filtered/063.png,visual_reasoning/experiment_1/last_filtered/099.png,visual_reasoning/experiment_1/last_filtered/077.png,visual_reasoning/experiment_1/last_filtered/054.png
46,176,221,028,173,145,"Her hair is a rippling, tossing sea",He was a cheetah in the race.,Jaywalking is a death sentence.,Friendship is a sheltering tree.,I was alone in a sea of unknown faces,visual_reasoning/experiment_1/zero_filtered/176.png,visual_reasoning/experiment_1/zero_filtered/221.png,visual_reasoning/experiment_1/zero_filtered/028.png,visual_reasoning/experiment_1/zero_filtered/173.png,visual_reasoning/experiment_1/zero_filtered/145.png,visual_reasoning/experiment_1/last_filtered/176.png,visual_reasoning/experiment_1/last_filtered/221.png,visual_reasoning/experiment_1/last_filtered/028.png,visual_reasoning/experiment_1/last_filtered/173.png,visual_reasoning/experiment_1/last_filtered/145.png
47,091,037,233,138,068,The penguin's last continent is a shopping bag.,SONY pushes music deep into your ears.,The soul is envy's favourite meal.,Words can be deadly,Hellman's mayonnaise turns meals into helium balloons.,visual_reasoning/experiment_1/zero_filtered/091.png,visual_reasoning/experiment_1/zero_filtered/037.png,visual_reasoning/experiment_1/zero_filtered/233.png,visual_reasoning/experiment_1/zero_filtered/138.png,visual_reasoning/experiment_1/zero_filtered/068.png,visual_reasoning/experiment_1/last_filtered/091.png,visual_reasoning/experiment_1/last_filtered/037.png,visual_reasoning/experiment_1/last_filtered/233.png,visual_reasoning/experiment_1/last_filtered/138.png,visual_reasoning/experiment_1/last_filtered/068.png
48,029,086,083,139,105,"If not cooled correctly, vegetables are dead corpses.",Pepsi injects life right into your veins.,A bottle cap is an oyster shell hiding a treasure.,Your heart is calling,Tabasco sauce is a fire extinguisher.,visual_reasoning/experiment_1/zero_filtered/029.png,visual_reasoning/experiment_1/zero_filtered/086.png,visual_reasoning/experiment_1/zero_filtered/083.png,visual_reasoning/experiment_1/zero_filtered/139.png,visual_reasoning/experiment_1/zero_filtered/105.png,visual_reasoning/experiment_1/last_filtered/029.png,visual_reasoning/experiment_1/last_filtered/086.png,visual_reasoning/experiment_1/last_filtered/083.png,visual_reasoning/experiment_1/last_filtered/139.png,visual_reasoning/experiment_1/last_filtered/105.png
49,218,078,016,181,207,Your face is a canvas,Evian is a mountain in a bottle.,Time is a highway.,Her soul is a quiet sea.,The planet is a sinking ship.,visual_reasoning/experiment_1/zero_filtered/218.png,visual_reasoning/experiment_1/zero_filtered/078.png,visual_reasoning/experiment_1/zero_filtered/016.png,visual_reasoning/experiment_1/zero_filtered/181.png,visual_reasoning/experiment_1/zero_filtered/207.png,visual_reasoning/experiment_1/last_filtered/218.png,visual_reasoning/experiment_1/last_filtered/078.png,visual_reasoning/experiment_1/last_filtered/016.png,visual_reasoning/experiment_1/last_filtered/181.png,visual_reasoning/experiment_1/last_filtered/207.png
50,204,034,229,190,093,The mind is a glass fortress.,Doritos can turn eating chips into a thrilling flavour adventure.,The mind is a computer.,My heart is a blank canvas waiting to be painted.,Two cans of bug spray are a holy cross.,visual_reasoning/experiment_1/zero_filtered/204.png,visual_reasoning/experiment_1/zero_filtered/034.png,visual_reasoning/experiment_1/zero_filtered/229.png,visual_reasoning/experiment_1/zero_filtered/190.png,visual_reasoning/experiment_1/zero_filtered/093.png,visual_reasoning/experiment_1/last_filtered/204.png,visual_reasoning/experiment_1/last_filtered/034.png,visual_reasoning/experiment_1/last_filtered/229.png,visual_reasoning/experiment_1/last_filtered/190.png,visual_reasoning/experiment_1/last_filtered/093.png
51,158,152,112,238,161,Alcohol is a friend.,An ancient anger exploded in his heart,Faber-Castell pencils can be as brown as a dachshund.,The company is letting money walk out the door.,An unexpected loss is a blow to the face.,visual_reasoning/experiment_1/zero_filtered/158.png,visual_reasoning/experiment_1/zero_filtered/152.png,visual_reasoning/experiment_1/zero_filtered/112.png,visual_reasoning/experiment_1/zero_filtered/238.png,visual_reasoning/experiment_1/zero_filtered/161.png,visual_reasoning/experiment_1/last_filtered/158.png,visual_reasoning/experiment_1/last_filtered/152.png,visual_reasoning/experiment_1/last_filtered/112.png,visual_reasoning/experiment_1/last_filtered/238.png,visual_reasoning/experiment_1/last_filtered/161.png
52,219,104,014,026,246,Your mind is a powerful tool,Floslek Sun Care is an oasis of shade on a scorching summer day.,Brämhults is a fresh carrot.,Coffee switches you on like a lightswitch.,He liked the gym as much as a case of the measles.,visual_reasoning/experiment_1/zero_filtered/219.png,visual_reasoning/experiment_1/zero_filtered/104.png,visual_reasoning/experiment_1/zero_filtered/014.png,visual_reasoning/experiment_1/zero_filtered/026.png,visual_reasoning/experiment_1/zero_filtered/246.png,visual_reasoning/experiment_1/last_filtered/219.png,visual_reasoning/experiment_1/last_filtered/104.png,visual_reasoning/experiment_1/last_filtered/014.png,visual_reasoning/experiment_1/last_filtered/026.png,visual_reasoning/experiment_1/last_filtered/246.png
53,134,198,031,175,220,The car can go as fast as the wind,My soul is a bird with broken wings.,Healthcare is a coin-operated service.,Her hair is a bird's nest,A friend is a treasure,visual_reasoning/experiment_1/zero_filtered/134.png,visual_reasoning/experiment_1/zero_filtered/198.png,visual_reasoning/experiment_1/zero_filtered/031.png,visual_reasoning/experiment_1/zero_filtered/175.png,visual_reasoning/experiment_1/zero_filtered/220.png,visual_reasoning/experiment_1/last_filtered/134.png,visual_reasoning/experiment_1/last_filtered/198.png,visual_reasoning/experiment_1/last_filtered/031.png,visual_reasoning/experiment_1/last_filtered/175.png,visual_reasoning/experiment_1/last_filtered/220.png
54,174,194,164,158,030,Hate is a blizzard,My mind is a desert and I am an explorer.,Autumn is a depression,Alcohol is a friend.,The pharmaceutical industry is a money machine.,visual_reasoning/experiment_1/zero_filtered/174.png,visual_reasoning/experiment_1/zero_filtered/194.png,visual_reasoning/experiment_1/zero_filtered/164.png,visual_reasoning/experiment_1/zero_filtered/158.png,visual_reasoning/experiment_1/zero_filtered/030.png,visual_reasoning/experiment_1/last_filtered/174.png,visual_reasoning/experiment_1/last_filtered/194.png,visual_reasoning/experiment_1/last_filtered/164.png,visual_reasoning/experiment_1/last_filtered/158.png,visual_reasoning/experiment_1/last_filtered/030.png
55,046,226,132,236,151,Clear vision is the lens that turns art into reality.,Laughter is the best medicine.,Love is a hear-shaped donut,The French bourgeoisie has rushed into a blind alley.,The seed of life was planted on our planet,visual_reasoning/experiment_1/zero_filtered/046.png,visual_reasoning/experiment_1/zero_filtered/226.png,visual_reasoning/experiment_1/zero_filtered/132.png,visual_reasoning/experiment_1/zero_filtered/236.png,visual_reasoning/experiment_1/zero_filtered/151.png,visual_reasoning/experiment_1/last_filtered/046.png,visual_reasoning/experiment_1/last_filtered/226.png,visual_reasoning/experiment_1/last_filtered/132.png,visual_reasoning/experiment_1/last_filtered/236.png,visual_reasoning/experiment_1/last_filtered/151.png
56,172,217,159,095,205,Fear is a lock,Work is a living hell,America is a gun.,Red bull is a battery.,The moon's crescent is a smile.,visual_reasoning/experiment_1/zero_filtered/172.png,visual_reasoning/experiment_1/zero_filtered/217.png,visual_reasoning/experiment_1/zero_filtered/159.png,visual_reasoning/experiment_1/zero_filtered/095.png,visual_reasoning/experiment_1/zero_filtered/205.png,visual_reasoning/experiment_1/last_filtered/172.png,visual_reasoning/experiment_1/last_filtered/217.png,visual_reasoning/experiment_1/last_filtered/159.png,visual_reasoning/experiment_1/last_filtered/095.png,visual_reasoning/experiment_1/last_filtered/205.png
57,140,073,133,240,213,Chocolate as smooth as silk,The harvester has become the crop.,The burger is a flame of flavour,He had a full bag of memories to unload.,Time is a bus and I am running behind.,visual_reasoning/experiment_1/zero_filtered/140.png,visual_reasoning/experiment_1/zero_filtered/073.png,visual_reasoning/experiment_1/zero_filtered/133.png,visual_reasoning/experiment_1/zero_filtered/240.png,visual_reasoning/experiment_1/zero_filtered/213.png,visual_reasoning/experiment_1/last_filtered/140.png,visual_reasoning/experiment_1/last_filtered/073.png,visual_reasoning/experiment_1/last_filtered/133.png,visual_reasoning/experiment_1/last_filtered/240.png,visual_reasoning/experiment_1/last_filtered/213.png
58,069,154,132,092,139,McCafé coffee is fuel in a cup.,The crowd was a roaring river.,Love is a hear-shaped donut,Coca Cola is a power chord.,Your heart is calling,visual_reasoning/experiment_1/zero_filtered/069.png,visual_reasoning/experiment_1/zero_filtered/154.png,visual_reasoning/experiment_1/zero_filtered/132.png,visual_reasoning/experiment_1/zero_filtered/092.png,visual_reasoning/experiment_1/zero_filtered/139.png,visual_reasoning/experiment_1/last_filtered/069.png,visual_reasoning/experiment_1/last_filtered/154.png,visual_reasoning/experiment_1/last_filtered/132.png,visual_reasoning/experiment_1/last_filtered/092.png,visual_reasoning/experiment_1/last_filtered/139.png
59,093,186,144,052,194,Two cans of bug spray are a holy cross.,Love is a dead end.,Her pen was a knife,A polar bear's body is a fracturing iceberg.,My mind is a desert and I am an explorer.,visual_reasoning/experiment_1/zero_filtered/093.png,visual_reasoning/experiment_1/zero_filtered/186.png,visual_reasoning/experiment_1/zero_filtered/144.png,visual_reasoning/experiment_1/zero_filtered/052.png,visual_reasoning/experiment_1/zero_filtered/194.png,visual_reasoning/experiment_1/last_filtered/093.png,visual_reasoning/experiment_1/last_filtered/186.png,visual_reasoning/experiment_1/last_filtered/144.png,visual_reasoning/experiment_1/last_filtered/052.png,visual_reasoning/experiment_1/last_filtered/194.png
60,170,215,020,096,015,Failure is a treacherous pit.,True love is like plum blossoms in bloom.,Buying cigarettes is throwing money away.,Automotive safety is a gem to be treasured.,Genetically modified food is a hidden predator on your plate.,visual_reasoning/experiment_1/zero_filtered/170.png,visual_reasoning/experiment_1/zero_filtered/215.png,visual_reasoning/experiment_1/zero_filtered/020.png,visual_reasoning/experiment_1/zero_filtered/096.png,visual_reasoning/experiment_1/zero_filtered/015.png,visual_reasoning/experiment_1/last_filtered/170.png,visual_reasoning/experiment_1/last_filtered/215.png,visual_reasoning/experiment_1/last_filtered/020.png,visual_reasoning/experiment_1/last_filtered/096.png,visual_reasoning/experiment_1/last_filtered/015.png
61,209,062,204,050,140,The sun is a wounded deer.,Your smile is a row of bright lightbulbs.,The mind is a glass fortress.,The SUV's trunk is a dimensional fold that deletes physical length.,Chocolate as smooth as silk,visual_reasoning/experiment_1/zero_filtered/209.png,visual_reasoning/experiment_1/zero_filtered/062.png,visual_reasoning/experiment_1/zero_filtered/204.png,visual_reasoning/experiment_1/zero_filtered/050.png,visual_reasoning/experiment_1/zero_filtered/140.png,visual_reasoning/experiment_1/last_filtered/209.png,visual_reasoning/experiment_1/last_filtered/062.png,visual_reasoning/experiment_1/last_filtered/204.png,visual_reasoning/experiment_1/last_filtered/050.png,visual_reasoning/experiment_1/last_filtered/140.png
62,205,172,003,171,137,The moon's crescent is a smile.,Fear is a lock,Drinking vodka is absolute paradise.,Faith is a dangerous road.,Words burn,visual_reasoning/experiment_1/zero_filtered/205.png,visual_reasoning/experiment_1/zero_filtered/172.png,visual_reasoning/experiment_1/zero_filtered/003.png,visual_reasoning/experiment_1/zero_filtered/171.png,visual_reasoning/experiment_1/zero_filtered/137.png,visual_reasoning/experiment_1/last_filtered/205.png,visual_reasoning/experiment_1/last_filtered/172.png,visual_reasoning/experiment_1/last_filtered/003.png,visual_reasoning/experiment_1/last_filtered/171.png,visual_reasoning/experiment_1/last_filtered/137.png
63,206,021,057,155,235,The ocean is a turbid grave.,Driving safety is a lion tamer.,A two-wheel drive vehicle is a horse missing its hind legs.,A heartbear is like a never-ending stampede of buffalo.,My computer slipped into a coma.,visual_reasoning/experiment_1/zero_filtered/206.png,visual_reasoning/experiment_1/zero_filtered/021.png,visual_reasoning/experiment_1/zero_filtered/057.png,visual_reasoning/experiment_1/zero_filtered/155.png,visual_reasoning/experiment_1/zero_filtered/235.png,visual_reasoning/experiment_1/last_filtered/206.png,visual_reasoning/experiment_1/last_filtered/021.png,visual_reasoning/experiment_1/last_filtered/057.png,visual_reasoning/experiment_1/last_filtered/155.png,visual_reasoning/experiment_1/last_filtered/235.png
64,189,228,084,104,212,My brain is a box of crayons,The classroom was a zoo.,The President spreads are a palette of flavours.,Floslek Sun Care is an oasis of shade on a scorching summer day.,Thought is a vulture,visual_reasoning/experiment_1/zero_filtered/189.png,visual_reasoning/experiment_1/zero_filtered/228.png,visual_reasoning/experiment_1/zero_filtered/084.png,visual_reasoning/experiment_1/zero_filtered/104.png,visual_reasoning/experiment_1/zero_filtered/212.png,visual_reasoning/experiment_1/last_filtered/189.png,visual_reasoning/experiment_1/last_filtered/228.png,visual_reasoning/experiment_1/last_filtered/084.png,visual_reasoning/experiment_1/last_filtered/104.png,visual_reasoning/experiment_1/last_filtered/212.png
65,150,019,008,083,059,We were in the jaws of death.,Being addicted to smoking is being lost in a maze.,Be a tourist in Italy by eating Barilla pasta.,A bottle cap is an oyster shell hiding a treasure.,Spicy ketchup is liquid fuel for a flame.,visual_reasoning/experiment_1/zero_filtered/150.png,visual_reasoning/experiment_1/zero_filtered/019.png,visual_reasoning/experiment_1/zero_filtered/008.png,visual_reasoning/experiment_1/zero_filtered/083.png,visual_reasoning/experiment_1/zero_filtered/059.png,visual_reasoning/experiment_1/last_filtered/150.png,visual_reasoning/experiment_1/last_filtered/019.png,visual_reasoning/experiment_1/last_filtered/008.png,visual_reasoning/experiment_1/last_filtered/083.png,visual_reasoning/experiment_1/last_filtered/059.png
66,021,208,027,007,073,Driving safety is a lion tamer.,The snow is a soft bed.,Colgate toothpaste throws a spotlight on your teeth.,Healthy eating is a sport.,The harvester has become the crop.,visual_reasoning/experiment_1/zero_filtered/021.png,visual_reasoning/experiment_1/zero_filtered/208.png,visual_reasoning/experiment_1/zero_filtered/027.png,visual_reasoning/experiment_1/zero_filtered/007.png,visual_reasoning/experiment_1/zero_filtered/073.png,visual_reasoning/experiment_1/last_filtered/021.png,visual_reasoning/experiment_1/last_filtered/208.png,visual_reasoning/experiment_1/last_filtered/027.png,visual_reasoning/experiment_1/last_filtered/007.png,visual_reasoning/experiment_1/last_filtered/073.png
67,147,181,055,175,160,The faculty meeting was a nightmare,Her soul is a quiet sea.,Fear makes monsters out of nothing.,Her hair is a bird's nest,An educated women is a danger.,visual_reasoning/experiment_1/zero_filtered/147.png,visual_reasoning/experiment_1/zero_filtered/181.png,visual_reasoning/experiment_1/zero_filtered/055.png,visual_reasoning/experiment_1/zero_filtered/175.png,visual_reasoning/experiment_1/zero_filtered/160.png,visual_reasoning/experiment_1/last_filtered/147.png,visual_reasoning/experiment_1/last_filtered/181.png,visual_reasoning/experiment_1/last_filtered/055.png,visual_reasoning/experiment_1/last_filtered/175.png,visual_reasoning/experiment_1/last_filtered/160.png
68,221,010,044,232,121,He was a cheetah in the race.,The music will punch you through the headphones.,Coca Cola is fuel for your thoughts.,Airports are pools of money from passenger fees.,Select the colour palette of your morning toast.,visual_reasoning/experiment_1/zero_filtered/221.png,visual_reasoning/experiment_1/zero_filtered/010.png,visual_reasoning/experiment_1/zero_filtered/044.png,visual_reasoning/experiment_1/zero_filtered/232.png,visual_reasoning/experiment_1/zero_filtered/121.png,visual_reasoning/experiment_1/last_filtered/221.png,visual_reasoning/experiment_1/last_filtered/010.png,visual_reasoning/experiment_1/last_filtered/044.png,visual_reasoning/experiment_1/last_filtered/232.png,visual_reasoning/experiment_1/last_filtered/121.png
69,234,055,007,090,195,I really hope society wakes up soon.,Fear makes monsters out of nothing.,Healthy eating is a sport.,Pizza delivery is a paper airplane flying through the city.,My mouth is a music box.,visual_reasoning/experiment_1/zero_filtered/234.png,visual_reasoning/experiment_1/zero_filtered/055.png,visual_reasoning/experiment_1/zero_filtered/007.png,visual_reasoning/experiment_1/zero_filtered/090.png,visual_reasoning/experiment_1/zero_filtered/195.png,visual_reasoning/experiment_1/last_filtered/234.png,visual_reasoning/experiment_1/last_filtered/055.png,visual_reasoning/experiment_1/last_filtered/007.png,visual_reasoning/experiment_1/last_filtered/090.png,visual_reasoning/experiment_1/last_filtered/195.png
70,105,145,135,169,178,Tabasco sauce is a fire extinguisher.,I was alone in a sea of unknown faces,The sky is the limit,Every sin is a wage you must pay.,Her love is a hurricane.,visual_reasoning/experiment_1/zero_filtered/105.png,visual_reasoning/experiment_1/zero_filtered/145.png,visual_reasoning/experiment_1/zero_filtered/135.png,visual_reasoning/experiment_1/zero_filtered/169.png,visual_reasoning/experiment_1/zero_filtered/178.png,visual_reasoning/experiment_1/last_filtered/105.png,visual_reasoning/experiment_1/last_filtered/145.png,visual_reasoning/experiment_1/last_filtered/135.png,visual_reasoning/experiment_1/last_filtered/169.png,visual_reasoning/experiment_1/last_filtered/178.png
71,124,142,053,108,031,Wildife is a living symphony orchestra.,Adam did not understand the root of the crisis,A glass of beer is a good idea waiting to happen.,Tic tacs are as sweet and delicious as strawberries.,Healthcare is a coin-operated service.,visual_reasoning/experiment_1/zero_filtered/124.png,visual_reasoning/experiment_1/zero_filtered/142.png,visual_reasoning/experiment_1/zero_filtered/053.png,visual_reasoning/experiment_1/zero_filtered/108.png,visual_reasoning/experiment_1/zero_filtered/031.png,visual_reasoning/experiment_1/last_filtered/124.png,visual_reasoning/experiment_1/last_filtered/142.png,visual_reasoning/experiment_1/last_filtered/053.png,visual_reasoning/experiment_1/last_filtered/108.png,visual_reasoning/experiment_1/last_filtered/031.png
72,085,236,124,244,137,Parship is a zipper bringing couples together.,The French bourgeoisie has rushed into a blind alley.,Wildife is a living symphony orchestra.,He is the shining star of our school.,Words burn,visual_reasoning/experiment_1/zero_filtered/085.png,visual_reasoning/experiment_1/zero_filtered/236.png,visual_reasoning/experiment_1/zero_filtered/124.png,visual_reasoning/experiment_1/zero_filtered/244.png,visual_reasoning/experiment_1/zero_filtered/137.png,visual_reasoning/experiment_1/last_filtered/085.png,visual_reasoning/experiment_1/last_filtered/236.png,visual_reasoning/experiment_1/last_filtered/124.png,visual_reasoning/experiment_1/last_filtered/244.png,visual_reasoning/experiment_1/last_filtered/137.png
73,209,063,136,011,245,The sun is a wounded deer.,Education is a factory that shapes individuals into uniform blocks.,The strawberries are as big as mountains,Resisting vaccines is like refusing to cross a professionally engineered bridge.,He is the sun of my sky.,visual_reasoning/experiment_1/zero_filtered/209.png,visual_reasoning/experiment_1/zero_filtered/063.png,visual_reasoning/experiment_1/zero_filtered/136.png,visual_reasoning/experiment_1/zero_filtered/011.png,visual_reasoning/experiment_1/zero_filtered/245.png,visual_reasoning/experiment_1/last_filtered/209.png,visual_reasoning/experiment_1/last_filtered/063.png,visual_reasoning/experiment_1/last_filtered/136.png,visual_reasoning/experiment_1/last_filtered/011.png,visual_reasoning/experiment_1/last_filtered/245.png
74,067,180,248,201,160,The Powner drilll is Nelson Mandela breaking through Apartheid.,Her smile is a warm fire that melts my heart.,"He should be in his car now, driving away, and yet here he was, like a fly caught in a spiderweb.",The blazing sun is a ballroom dancer.,An educated women is a danger.,visual_reasoning/experiment_1/zero_filtered/067.png,visual_reasoning/experiment_1/zero_filtered/180.png,visual_reasoning/experiment_1/zero_filtered/248.png,visual_reasoning/experiment_1/zero_filtered/201.png,visual_reasoning/experiment_1/zero_filtered/160.png,visual_reasoning/experiment_1/last_filtered/067.png,visual_reasoning/experiment_1/last_filtered/180.png,visual_reasoning/experiment_1/last_filtered/248.png,visual_reasoning/experiment_1/last_filtered/201.png,visual_reasoning/experiment_1/last_filtered/160.png
75,214,032,016,084,100,Time is a thief,"Krispy Kreme donuts can be found in Scottland, like the Loch Ness monster.",Time is a highway.,The President spreads are a palette of flavours.,Social media is a hamster wheel.,visual_reasoning/experiment_1/zero_filtered/214.png,visual_reasoning/experiment_1/zero_filtered/032.png,visual_reasoning/experiment_1/zero_filtered/016.png,visual_reasoning/experiment_1/zero_filtered/084.png,visual_reasoning/experiment_1/zero_filtered/100.png,visual_reasoning/experiment_1/last_filtered/214.png,visual_reasoning/experiment_1/last_filtered/032.png,visual_reasoning/experiment_1/last_filtered/016.png,visual_reasoning/experiment_1/last_filtered/084.png,visual_reasoning/experiment_1/last_filtered/100.png
76,003,208,242,025,099,Drinking vodka is absolute paradise.,The snow is a soft bed.,He is drowning in a sea of work.,A deadline is a trap closing in on a worker.,A high heel shoe is a striking snake.,visual_reasoning/experiment_1/zero_filtered/003.png,visual_reasoning/experiment_1/zero_filtered/208.png,visual_reasoning/experiment_1/zero_filtered/242.png,visual_reasoning/experiment_1/zero_filtered/025.png,visual_reasoning/experiment_1/zero_filtered/099.png,visual_reasoning/experiment_1/last_filtered/003.png,visual_reasoning/experiment_1/last_filtered/208.png,visual_reasoning/experiment_1/last_filtered/242.png,visual_reasoning/experiment_1/last_filtered/025.png,visual_reasoning/experiment_1/last_filtered/099.png
77,052,151,018,051,200,A polar bear's body is a fracturing iceberg.,The seed of life was planted on our planet,The Publicis Singapore pencils wish you festive greetings.,Global ice melting is as dangerous as a missile.,Our love is a board game.,visual_reasoning/experiment_1/zero_filtered/052.png,visual_reasoning/experiment_1/zero_filtered/151.png,visual_reasoning/experiment_1/zero_filtered/018.png,visual_reasoning/experiment_1/zero_filtered/051.png,visual_reasoning/experiment_1/zero_filtered/200.png,visual_reasoning/experiment_1/last_filtered/052.png,visual_reasoning/experiment_1/last_filtered/151.png,visual_reasoning/experiment_1/last_filtered/018.png,visual_reasoning/experiment_1/last_filtered/051.png,visual_reasoning/experiment_1/last_filtered/200.png
78,107,230,054,215,108,You cannot afford to gamble with your dental health.,The professor was a guiding light for him.,An ergonomic pillow is a sleep supplement.,True love is like plum blossoms in bloom.,Tic tacs are as sweet and delicious as strawberries.,visual_reasoning/experiment_1/zero_filtered/107.png,visual_reasoning/experiment_1/zero_filtered/230.png,visual_reasoning/experiment_1/zero_filtered/054.png,visual_reasoning/experiment_1/zero_filtered/215.png,visual_reasoning/experiment_1/zero_filtered/108.png,visual_reasoning/experiment_1/last_filtered/107.png,visual_reasoning/experiment_1/last_filtered/230.png,visual_reasoning/experiment_1/last_filtered/054.png,visual_reasoning/experiment_1/last_filtered/215.png,visual_reasoning/experiment_1/last_filtered/108.png
79,069,030,233,247,117,McCafé coffee is fuel in a cup.,The pharmaceutical industry is a money machine.,The soul is envy's favourite meal.,He looked neither one way nor the other way but sat like a carved image.,A brain is not as tough to crack as a walnut,visual_reasoning/experiment_1/zero_filtered/069.png,visual_reasoning/experiment_1/zero_filtered/030.png,visual_reasoning/experiment_1/zero_filtered/233.png,visual_reasoning/experiment_1/zero_filtered/247.png,visual_reasoning/experiment_1/zero_filtered/117.png,visual_reasoning/experiment_1/last_filtered/069.png,visual_reasoning/experiment_1/last_filtered/030.png,visual_reasoning/experiment_1/last_filtered/233.png,visual_reasoning/experiment_1/last_filtered/247.png,visual_reasoning/experiment_1/last_filtered/117.png
80,012,018,089,135,192,Cadbury chocolate is as creamy as fresh milk.,The Publicis Singapore pencils wish you festive greetings.,Your phone is a mouse trap.,The sky is the limit,My heart is a garden tired with autumn,visual_reasoning/experiment_1/zero_filtered/012.png,visual_reasoning/experiment_1/zero_filtered/018.png,visual_reasoning/experiment_1/zero_filtered/089.png,visual_reasoning/experiment_1/zero_filtered/135.png,visual_reasoning/experiment_1/zero_filtered/192.png,visual_reasoning/experiment_1/last_filtered/012.png,visual_reasoning/experiment_1/last_filtered/018.png,visual_reasoning/experiment_1/last_filtered/089.png,visual_reasoning/experiment_1/last_filtered/135.png,visual_reasoning/experiment_1/last_filtered/192.png
